time,type,note,velocity
14.308,note_on,44,50
14.308,note_on,36,50
14.309,note_off,76,0
14.309,note_off,62,0
14.423,note_off,36,0
14.424,note_on,60,50
14.424,note_on,68,50
14.538,note_off,44,0
14.538,note_off,32,0
14.538,note_on,32,50
14.538,note_on,44,50
14.538,note_on,42,50
14.654,note_off,42,0
14.769,note_off,44,0
14.769,note_off,32,0
14.769,note_on,41,50
14.770,note_off,68,0
14.770,note_off,60,0
15.001,note_on,56,50
15.001,note_on,60,50
15.001,note_on,63,50
15.115,note_off,41,0
15.115,note_on,53,50
15.232,note_off,63,0
15.232,note_off,60,0
15.232,note_off,56,0
15.347,note_on,56,50
15.347,note_on,60,50
15.347,note_on,63,50
15.577,note_off,53,0
15.577,note_on,53,50
15.578,note_off,63,0
15.578,note_off,60,0
15.578,note_off,56,0
15.808,note_off,53,0
15.808,note_on,53,50
15.809,note_on,56,50
15.809,note_on,60,50
15.809,note_on,63,50
15.923,note_off,53,0
15.923,note_on,53,50
16.038,note_off,53,0
16.038,note_on,53,50
16.040,note_off,63,0
16.040,note_off,60,0
16.040,note_off,56,0
16.270,note_on,56,50
16.270,note_on,60,50
16.270,note_on,62,50
16.385,note_off,53,0
16.385,note_on,53,50
16.500,note_off,53,0
16.500,note_on,53,50
16.501,note_off,62,0
16.501,note_off,60,0
16.501,note_off,56,0
16.615,note_off,53,0
16.615,note_on,41,50
16.732,note_on,56,50
16.732,note_on,60,50
16.732,note_on,63,50
16.963,note_off,63,0
16.963,note_off,60,0
16.963,note_off,56,0
16.963,note_on,56,50
16.963,note_on,60,50
16.963,note_on,63,50
17.192,note_off,41,0
17.192,note_on,41,50
17.193,note_off,63,0
17.193,note_off,60,0
17.193,note_off,56,0
17.424,note_on,56,50
17.424,note_on,60,50
17.424,note_on,63,50
17.654,note_off,41,0
17.654,note_on,53,50
17.655,note_off,63,0
17.655,note_off,60,0
17.655,note_off,56,0
17.886,note_on,56,50
17.886,note_on,60,50
17.886,note_on,63,50
18.001,note_off,63,0
18.001,note_off,60,0
18.001,note_off,56,0
18.001,note_on,56,50
18.001,note_on,60,50
18.001,note_on,62,50
18.231,note_off,53,0
18.231,note_on,53,50
18.346,note_off,53,0
18.346,note_on,53,50
18.462,note_off,53,0
18.462,note_on,41,50
18.463,note_off,62,0
